trip_id,taxi_id,trip_seconds,trip_miles,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,pickup_community_area,dropoff_community_area,trip_start_timestamp,zip
e71e11dd8c0dda99778ffbaadac30193416188e2,d96279b9f0d9e121dca78282e8ead29d8a7aa18dc89d78e6d48929e56859ee5ceae89ca179075352c483051e024ac24059123603a422ba8782b11dc4108e5730,60,0.0,41.663670652,-87.540935513,41.663670652,-87.540935513,55,55,2023-02-28,60633
aafa600c0b5f16df4f197954925f9e8526d59cd8,7a94870d6dd64df1780e28ebf8ca00311621929b717fa4081d4c476fe4dee4469db07c62388fc97517590883cda61fdc2497ab25f4b699a4d4fb03f53407c334,780,0.2,41.878865584,-87.625192142,41.922686284,-87.649488729,32,7,2023-02-28,60614
9c7337286ced30cd408a1f1b08122a391bb9d1bb,fdb16324f07e66dd7338161569ae6991f89e38884bac4a530dfdce01b1704d9d1f8cdd1348cfb85d3c234cddbb9d73a2bd69fd57e449b4d6928de0856bc60cac,440,2.24,41.88528132,-87.6572332,41.890922026,-87.618868355,28,8,2023-02-28,60611
9ac2808cfb09c0021e7110bea2487da348a2e41e,545ac2dfd5b722e0f0d884cc68ec27d5b0537410edd8bf8cc9b5a5678e04ce29f61294267fb5abdc2a3f7732167469a04bedb5fdc972527bb29597947d2d0abd,360,0.0,41.922686284,-87.649488729,41.922686284,-87.649488729,7,7,2023-02-28,60614
8cce55a92b42faa277a4760f2ad29abbe591bf1f,41cea579c57a219c9909be94379401b4623c39a23b84e4bd1d2e4d38ff0387702b420f2a865a14c4c116bf9e5cf428f76033a55e60c961e01fa7c32b683ff615,1403,13.73,41.980264315,-87.913624596,41.900069603,-87.720918238,76,23,2023-02-28,60651
78d0f40d78af928202a67fa8dac1f9a8f3766e4c,1196baed4ac6d505b1570924ec0cfd186711562a12627811045d57fbbc6e9d2aa8b5cd89e0a8b0abecd9bf69011a5a43f06265221d13ffe3d602354c5595f441,591,2.31,41.884987192,-87.620992913,41.914616286,-87.631717366,32,7,2023-02-28,60614
94747cf2aa4b8fbd2db77d659340cb01a49f819f,9290a8430ba3e8061554627a9b1ebc78fd78a446a92b55f693e94316ea69930e29180297a7df363fffe70f0b36e64b319e858a24ceffcbcb690d428779d6fd94,120,0.5,41.899602111,-87.633308037,41.899602111,-87.633308037,8,8,2023-02-28,60610
69978054c5212b149e2b2b3ea580287bf74b1e87,76195767851c0e4807795915d7a0579a1c625c2eae552b36d989d32a60ca58318ca88fe17fcd825ceab7b45cb639e7c77d7b4a44629afa03f6f85b4e62c1d6b0,840,13.6,41.92276062,-87.699155343,41.763246799,-87.616134111,22,69,2023-02-28,60619
63445f35e04137a2a251e7b88ca166f61d28e3cc,f9448164dcb56f4f31c2b2ad562f31443a01885c2bda20d6325a0747c9857007a024d358c98ed634fba5791a9dcbaf7252302b7dad34fa6bea7e625d2d185d4e,1141,11.16,41.785998518,-87.750934289,41.880994471,-87.632746489,56,32,2023-02-28,60603
6d18fca3357bbb5e640429cb610f82b44f6b9bbc,48c0b5669ed50a0dcd8bf0e69fd99bb2669cb027ec06c0b76f9781a5497dcb8cb04b1d3106e61447749bfbb5b6547bc82fc3e94ce2ea87b154d3f53ad364be98,3202,12.78,41.706587882,-87.623366512,41.740205756,-87.615969523,49,44,2023-02-28,60619
62c584191b887d44dc40cbfe693b4d700f8a6cf9,f5b5de5c0c42601f6878d82eeb1984d06c977aab60cb0d5b8d43bda03e10446f74011ce03de186ce73ffce10190ee946e0038ab34f1e134adddf264dfa810bbd,180,0.0,41.947791586,-87.683834942,41.947791586,-87.683834942,5,5,2023-02-28,60618
594af2dfc7910c229a4644a0bb9631f16e4c94e6,ab6b0472a82102ae6875f5297519510f5664a3b4a3559e7263a5040af7121af771246f9524f35f264ce10c26187e70f96d230f1df3362cca75b7d91b12b27148,1260,12.4,41.785998518,-87.750934289,41.880994471,-87.632746489,56,32,2023-02-28,60603
779e55805e2da92f112cdd33d72e2658082ff44f,8c996b78641f57de21b068fa17d4224cd9f1da237ccd7862a4c2121b6794f00f733450c58ad1b950a45a14347d4694f070e16ca8effcac45a5b06a18ba46a430,1140,0.3,41.794090253,-87.592310855,41.690633347,-87.570058269,41,51,2023-02-28,60617
7d482c4a491255a4bac0efe98949d3330358a8aa,131107e9f0f51399bdc9e8c2eb94fce500bdf22daeb1f87481182334da2c0e8a041ddfcd898a1fb5cc4227d028328db1cc13d0d08cb3f4a020c47bddd5840d7e,1500,0.0,41.878865584,-87.625192142,41.744205146,-87.656305986,32,71,2023-02-28,60620
8572db76c2334e5965e7c8978d09d61db26a6bab,cce8f048747a1a8e42aa1ee9a448645d311ad388dbd9f1340fcbb267e82253f78d4f9e3ba1cc2934d983a74ca587224502d1fba4237fb1fb3cfa2f783398aec2,629,2.81,41.899602111,-87.633308037,41.901206994,-87.676355989,8,24,2023-02-28,60622
61836da13eb76f65bbea1aafa2e2b92b8ada4ccc,9b954fdb175c1546d40a6e75f670f2d5f25b49a5adb4de7b64b076f249d8b6c2b75b9bb6191d3b965a9592b066d836c6801b3488f2ebe34d34b39110e98cddf3,660,4.5,41.878865584,-87.625192142,41.944226601,-87.655998182,32,6,2023-02-28,60657
6dc72275bfa96739fbce4cae8f5de6d3ae1b18ee,beb0579501b2745e10d12af72f99864d506abb7c5de1ebad3505133ac3bfb207ffff4cb70c00072aa1895c9f657b9535457108289825085a790991d82994f854,480,2.1,41.922686284,-87.649488729,41.899602111,-87.633308037,7,8,2023-02-28,60610
